,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,elapsed_sec,_time,N1,N2,PR,Turbine_Exit,Power,Index,Channel_Time,P_NI_Box_P,T_NI_Box_C,P_Oil_psi,P_TM_Cooling_Snake_psi,P_Fuel_psi,P_Inlet_Mass_Flow_1_Pa,P_Inlet_Mass_Flow_2_Pa,P_PT_Exit_Flow_Pressure_5_Pa,P_Combustor_Pa,P_Impeller_Discharge_1_Pa,P_Impeller_Discharge_2_Pa,P_Impeller_Discharge_3_Pa,P_Impeller_Discharge_4_Pa,P_LSSP_Inlet_1_Pa,P_LSSP_Inlet_3_Pa,P_LSSP_Outlet_1_Pa,P_LSSP_Outlet_3_Pa,F_Axial_N,T_Gen_Embedded_pt_1_C,T_Gen_Embedded_pt_2_C,T_Gen_Fluid_in_ntc_C,T_Gen_Fluid_out_ntc_C,P_M_Fuel_psi,P_M_Anulus_psi,P_M_Mixer_psi,M_Fuel_Temp_rtd_C,P_Inlet_Mass_Flow_3_Pa,P_Inlet_Mass_Flow_4_Pa,BM_Inlet_1_Pa,T_Inlet_Air_c,T_Combustor_Can_Boot_c,T_Combustor_Cap_c,T_Seal_Bypass_Flow_1_c,T_Seal_Bypass_Flow_2_c,T_Turbine_Exit_Flow_c,T_Oil_Inlet_Flow_c,T_Oil_Outlet_Flow_c,T_TM_Cooling_Snake_In_c,T_TM_Cooling_Snake_Out_c,T_Heat_Shield_Cavity_c,T_Combustor_Can_Surface_1_c,T_Combustor_Can_Surface_2_c,T_Hot_Section_Housing_1_c,T_Methane_Anulus_c,T_Oil_Sump_Vent_Temperature_c,T_Cross_Duct_Flow_1_c,T_Cross_Duct_Flow_3_c,T_Cross_Duct_Flow_5_c,T_Turbine_Exit_Flow_4_c,xx_M_Annulus_c,xx_M_Exit_c,Ch1 RMS_[ m/s2 ],Ch2 RMS_[ m/s2 ],Ch1 Crest Factor_[ - ],Ch2 Crest Factor_[ - ],run_elapsed_sec,Index_y,t_stamp,atmospheric pressure,bearing temperature,co2 temperature,fuel inlet pressure,fuel inlet temperature,fuel regulator,fuel supply pressure,generator case temperature 1,generator case temperature 2,generator case temperature 3,generator case temperature 4,generator outlet temperature,generator phase1 current,generator phase1 voltage,generator phase2 current,generator phase2 voltage,generator phase3 current,generator phase3 voltage,inlet static pressure,inlet temperature,n1 speed sensor,n2 speed sensor,oil pressure,oil temperature,pt outlet pressure 1,pt outlet pressure 2,pt outlet pressure 3,pt outlet pressure 4,pt outlet temperature 1,pt outlet temperature 2,pt outlet temperature 3,pt outlet temperature 4,turbine outlet temperature 1,turbine outlet temperature 2,relay_st1,relay_st2,relay_st3,relay_st4,relay_st5,n2b analog,n2b speed sensor,N1.1,TET,PWR,voltage,current,power
0,0,0,0,0.0,2:14:28 PM,0.0,0.0,1.020952702,23.60000038,0.001834586810035,0,2:14:28 PM,101383.5402,47.9544,37.642,16.1523,0.1483,-77.5787,-112.8531,2030.669,2217.3629,1928.8359,1674.2533,1759.1142,2098.5577,2404.0568,1776.0863,1606.3646,2556.8064,-835.2666,24.5947,25.2395,22.9563,23.0064,-0.2483,-0.1129,-0.0576,22.8769,9.9112,28.4733,3.2147,22.008,2295.6609,2295.6609,22.7622,22.7936,23.3556,48.0703,38.9409,21.881,22.2622,25.3809,2295.6609,2295.6609,2295.6609,24.2149,21.8712,22.7937,22.4324,22.5138,23.1842,2295.2893,2295.2893,2.3584,7.7204,3.4634,2.2815,0.0,26.0,2:12:27 PM,1.009328365,24.0,22.39999962,-0.059104275,23.39999962,0,-4.526208401,24.5,24.89999962,24.0,24.20000076,23.0,0.775824606,0.851779521,0.694444478,0.797526062,0.656467021,0.938585043,0.000436395,23.79999924,0.0,0.0,8.171603203,24.10000038,1.020952702,1.029743195,1.026750803,1.020952702,22.5,22.60000038,23.0,23.0,23.60000038,23.29999924,1,1.0,0,0,0,-0.448495388,0,0.0,23.0,0.0,0.8626302086666667,2.126736105,0.001834586810035084
1,4,4,4,4.0,2:14:32 PM,0.0,0.0,1.024880409,23.5,0.0018175736787079,4,2:14:32 PM,101404.7565,47.9688,38.9282,12.3487,-0.0364,-1014.4047,-161.253,2624.6951,2947.1665,-481.2129,1165.088,1827.0029,1402.6985,2013.6968,1962.7803,1945.8081,2471.9455,-834.8226,24.3798,25.0246,22.9604,23.0189,-0.1499,-0.0391,0.0348,22.8769,239.0364,22.0926,1.4383,22.043,2295.4422,2295.4422,22.7258,22.7378,23.1616,47.8729,38.5594,21.7898,22.1799,25.3317,2295.4422,2295.4422,2295.4422,24.2742,21.9133,24.5306,24.124,24.2394,23.5275,2295.1741,2295.1741,29.9884,30.0704,8.7029,9.2257,4.0,30.0,2:12:31 PM,1.009328365,24.20000076,23.70000076,-0.060600586,23.5,0,-4.538677692,24.70000076,24.89999962,24.0,24.39999962,22.79999924,0.786675334,0.851779521,0.68359375,0.792100668,0.645616293,0.933159709,0.000436395,24.10000038,0.0,0.0,8.171603203,24.5,1.024880409,1.03423202,1.026750803,1.020952702,23.39999962,23.20000076,23.89999962,24.0,23.5,23.29999924,1,1.0,0,0,0,0.728805006,0,0.0,23.0,0.0,0.8590132993333333,2.1158853769999997,0.0018175736787079235
2,5,5,5,5.0,2:14:33 PM,5.359999735833333,0.0,1.029400428166667,23.41666635,0.0059785067093251,5,2:14:33 PM,101379.297,47.9544,37.1128,4.6701,-0.0364,-1123.5098,-173.5581,3015.0552,3490.2761,197.6741,1657.2811,2370.1125,2115.5298,2658.6395,2522.8621,2488.9177,2522.8621,-834.6006,24.1648,24.8096,22.9604,23.0147,11.4258,0.0471,0.1332,22.8811,229.1753,30.2135,1.4179,22.1495,2295.6244,2295.6244,22.9126,22.8703,23.1917,47.9799,38.4674,21.89,22.3176,25.436,2295.6244,2295.6244,2295.6244,24.2761,22.2383,24.6091,24.3214,24.4398,23.1451,2295.2711,2295.2711,26.0708,27.1516,9.6326,10.7679,5.0,30.83333333333333,,1.009328365,24.20000076,24.03333377666666,-0.0589380201666666,23.41666635,0,-4.513739506166667,24.61666711,24.81666597,24.0,24.39999962,22.54999987333333,0.8138021031666667,2.6557074885,0.6926360233333333,2.907986084666667,0.6275317963333333,2.841073493166667,0.000436395,24.10000038,5.359999735833333,0.0,8.171603203,24.58333365,1.029400428166667,1.037972708333333,1.026750803,1.023134827833333,23.56666692,23.36666647666667,24.06666692,24.08333365,23.41666635,23.13333352333333,1,1.0,0,0,0,1.007607569333333,0,0.0,23.0,0.0,2.801589022111111,2.1339699228333333,0.005978506709325162
3,6,6,6,6.0,2:14:34 PM,12.47999954,0.0,1.033858061,23.39999962,0.0109807553783315,6,2:14:34 PM,101417.4863,47.964,40.9837,11.064,0.0149,-528.7643,83.2074,3320.5544,3252.6657,2743.5004,2607.723,2522.8621,2268.2794,3099.9161,3201.7491,3337.5265,2607.723,-834.6006,24.5947,25.0246,22.9604,23.0147,12.5828,0.0655,0.1578,22.8769,218.1541,20.9325,1.3771,22.1616,2295.4807,2295.4807,22.7944,22.7764,23.1232,47.8839,38.1869,21.7847,22.2091,25.2846,2295.4807,2295.4807,2295.4807,24.1876,21.8649,24.6939,24.2753,24.4641,23.1236,2295.2425,2295.2425,26.3878,25.6762,10.0482,11.1172,6.0,32.0,2:12:33 PM,1.009328365,24.20000076,24.39999962,-0.058605507,23.39999962,0,-4.503764629,24.5,24.79999924,24.0,24.39999962,22.10000038,0.786675334,5.36024332,0.710720479,4.958767414,0.661892354,4.937066078,0.000436395,24.10000038,12.47999954,0.0,8.171603203,24.70000076,1.033858061,1.042835474,1.026750803,1.026002645,23.70000076,23.5,24.29999924,24.20000076,23.39999962,23.0,1,1.0,0,0,0,0.312861681,0,0.0,23.0,0.0,5.085358937333333,2.159288167,0.010980755378331562
4,7,7,7,7.0,2:14:35 PM,10.31999982363636,0.0545454531818181,1.035898381909091,23.53636377454545,0.0101528950363379,7,2:14:35 PM,101438.7026,47.9544,39.876,5.2756,-0.0056,-1002.92,-188.3242,3541.1927,3592.1092,418.3123,2404.0568,2590.7508,2607.723,3015.0552,2913.2221,2811.3891,2522.8621,-834.2305,24.5947,25.4544,22.9521,23.0147,12.1089,0.0963,0.1578,22.8894,233.2357,24.4128,3.1126,22.0422,2295.6119,2295.6119,22.8902,22.7839,24.1801,47.9071,38.0093,21.8468,22.3717,25.4042,2295.6119,2295.6119,2295.6119,24.5879,21.8773,24.1155,23.9733,24.0174,24.8546,2295.0918,2295.0918,12.8166,7.8952,3.3227,2.7954,7.0,32.45454545454545,,1.009328365,24.20000076,24.44545433818182,-0.059172291090909,23.39999962,0,-4.501497485363637,24.40909056363636,24.70909066727273,24.0,24.44545433818182,22.05454566181818,0.779277124,5.037188313181819,0.7033222967272728,4.598721547636364,0.6544941444545455,4.616477402545455,0.000436395,24.05454566181818,10.31999982363636,0.0545454531818181,8.171603203,24.65454604181818,1.035898381909091,1.045130903090909,1.026750803,1.028213002272727,23.79090933272727,23.54545471818182,24.48181811272727,24.20000076,23.53636377454545,23.18181800909091,1,1.0,0,0,0,-0.0340317299090909,0,0.009090909090909,23.45454545454545,0.0,4.750795754454546,2.1370935651818184,0.010152895036337914
5,8,8,8,8.0,2:14:36 PM,8.160000107272728,0.1090909063636363,1.037938702818182,23.67272792909091,0.0093398856875982,8,2:14:36 PM,101413.243,47.9544,38.6205,12.1237,-0.1185,-912.6827,-180.9411,3609.0814,4559.5233,401.3402,2658.6395,2862.3056,2862.3056,3422.3874,3150.8326,3116.8882,2505.8899,-834.1565,24.5947,25.2395,22.9563,23.0106,10.8843,0.0532,0.164,22.8894,248.8974,28.4733,3.8477,22.0496,2295.5989,2295.5989,22.9062,22.9478,25.6078,47.9899,37.9022,21.6539,22.2959,25.3936,2295.5989,2295.5989,2295.5989,36.5664,22.1088,23.8532,24.2874,23.762,25.5395,2295.1908,2295.1908,11.7443,8.0193,3.6645,2.8305,8.0,32.90909090909091,,1.009328365,24.20000076,24.49090905636364,-0.0597390751818181,23.39999962,0,-4.499230341727273,24.31818112727273,24.61818209454546,24.0,24.49090905636364,22.00909094363636,0.771878914,4.714133306363636,0.6959241144545454,4.238675681272727,0.6470959349090909,4.29588872709091,0.000436395,24.00909094363636,8.160000107272728,0.1090909063636363,8.171603203,24.60909132363636,1.037938702818182,1.047426332181818,1.026750803,1.030423359545455,23.88181790545454,23.59090943636364,24.66363698545455,24.20000076,23.67272792909091,23.36363601818182,1,1.0,0,0,0,-0.3809251408181818,0,0.0181818181818181,23.90909090909091,0.0,4.416232571575757,2.114898963363636,0.009339885687598293
6,9,9,9,9.0,2:14:37 PM,0.0,0.0,1.038346767,24.29999924,0.00525909201336,9,2:14:37 PM,101396.27,47.9592,39.4698,5.2609,-0.1391,-815.0623,-144.8463,4033.3858,2590.7508,927.4776,2913.2221,3354.4987,3252.6657,3676.9701,3405.4153,3320.5544,2505.8899,-834.0825,24.3798,25.0246,22.9604,23.0147,12.6074,0.1517,0.2563,22.8894,272.6801,29.0533,3.8477,22.0859,2295.4822,2295.4822,22.7369,22.7919,27.4188,47.9434,37.9227,21.8035,22.1289,25.2826,2295.4822,2295.4822,2295.4822,64.0811,22.3571,23.8991,24.2793,23.5322,28.7318,2295.3141,2295.3141,14.1467,12.2645,9.7876,10.2668,9.0,34.0,2:12:36 PM,1.009328365,24.20000076,24.29999924,-0.061099354,23.39999962,0,-4.546158791,24.29999924,24.5,24.0,24.5,21.29999924,0.78125,2.430555582,0.694444478,2.365451336,0.667317688,2.566189289,0.000436395,23.79999924,0.0,0.0,8.171603203,24.60000038,1.038346767,1.046763182,1.026750803,1.034793139,24.0,24.10000038,24.89999962,24.20000076,24.29999924,24.0,1,1.0,0,0,0,-0.027126737,0,0.0,24.0,0.0,2.4540654023333333,2.143012166,0.005259092013360018
7,10,10,10,10.0,2:14:38 PM,0.1600000016666666,0.0999999975,1.045360446166667,25.13333257333333,0.0061569225475675,10,2:14:38 PM,101400.5133,47.9592,39.5375,11.2196,-0.1391,-754.3573,-144.8463,5272.3548,4831.0782,2132.502,3846.6919,4508.6068,4474.6624,4814.106,4525.579,4372.8294,2505.8899,-833.9345,24.8096,25.4544,22.9521,23.0147,11.3889,0.3732,0.4717,22.8853,292.9823,26.7331,3.8681,22.1655,2295.6577,2295.6577,22.9612,22.8133,39.5139,48.0862,37.8809,21.7874,22.2964,25.3983,2295.6577,2295.6577,2295.6577,63.0042,22.4806,23.8936,24.2976,23.5892,49.387,2295.2567,2295.2567,14.9396,13.6759,7.8607,9.2996,10.0,34.83333333333334,,1.009328365,24.11666711,24.13333352333333,-0.061099354,23.39999962,0,-4.533689896,24.29999924,24.41666635,24.0,24.58333365,21.13333352333333,0.7902922233333334,2.742512981166666,0.7034867013333334,2.790436824333333,0.6492331921666666,3.086118419833333,0.000436395,23.79999924,0.1600000016666666,0.0999999975,8.171603203,24.51666673,1.045360446166667,1.055491387833333,1.026750803,1.037598629833333,24.08333365,24.43333339666667,25.06666692,24.61666742666667,25.13333257333333,25.16666635,1,1.0,0,0,0,0.0452112263333333,0,0.5166666666666666,24.83333333333333,0.0,2.8730227417777776,2.1430121168333334,0.006156922547567502
8,11,11,11,11.0,2:14:39 PM,0.384000003,0.119999997,1.062473893,30.60000038,0.0066659087004705,11,2:14:39 PM,101413.243,47.9592,40.7375,8.7722,-0.1699,-710.8793,-162.8937,6782.8787,6714.99,3524.2205,5289.327,5849.4089,5866.381,6426.4629,5951.2419,5883.3532,4508.6068,-833.7865,24.5947,25.2395,22.9563,23.0064,12.4905,0.5702,0.6502,22.8853,317.925,24.4128,3.2147,22.1312,2295.5599,2295.5599,22.8421,22.6967,63.0421,47.9702,37.9049,21.7216,22.1694,25.3076,2295.5599,2295.5599,2295.5599,60.6273,22.3413,24.3573,24.6953,23.9282,88.9916,2295.3306,2295.3306,23.3139,10.2452,3.8638,9.1466,11.0,36.0,2:12:38 PM,1.009328365,24.10000038,24.10000038,-0.061099354,23.39999962,0,-4.531196117,24.29999924,24.29999924,24.0,24.60000038,21.10000038,0.78125,2.907986164,0.705295146,3.038194418,0.656467021,3.385416508,0.000436395,23.79999924,0.384000003,0.119999997,8.171603203,24.5,1.062473893,1.072573662,1.026750803,1.048446417,24.10000038,25.0,25.5,24.70000076,30.60000038,33.40000153,1,1.0,0,0,0,-0.287543386,0,0.31,32.0,0.0,3.1105323633333337,2.143012167,0.0066659087004706
9,12,12,12,12.0,2:14:40 PM,0.2240000021666666,0.2199999953333333,1.076345483833333,41.59999943,0.0068291060841081,12,2:14:40 PM,101408.9998,47.9544,37.8513,8.2991,-0.1699,-629.6658,-178.4801,8751.6516,8751.6516,4763.1894,6562.2404,7495.7103,7461.7659,7953.9591,7529.6546,7410.8494,6120.9637,-833.7865,24.5947,25.4544,22.9563,23.0231,11.6412,0.8163,0.8717,22.8686,359.6896,24.4128,3.2147,22.091,2295.7881,2295.7881,23.0595,22.9569,88.0338,48.0126,38.108,21.974,22.4327,25.5349,2295.7881,2295.7881,2295.7881,58.2583,22.4598,24.8714,25.4909,24.5438,128.6615,2295.3015,2295.3015,28.1251,12.447,3.2644,7.9002,12.0,36.83333333333334,,1.009328365,24.10000038,24.26666609666666,-0.061099354,23.39999962,0,-4.527039687,24.13333352333333,23.80000050666667,24.08333365,24.68333403,21.01666673,0.78125,3.0119718315,0.6917318109999999,3.110532403,0.656467021,3.498444597166666,0.000436395,23.63333352333333,0.2240000021666666,0.2199999953333333,8.171603203,24.5,1.076345483833333,1.086289386166667,1.026750803,1.060759445333333,24.51666704666667,25.58333396666667,25.74999936666666,25.19999949333333,41.59999943,46.64999962166667,1,1.0,0,0,0,0.0500337656666666,0,1.093333333333333,44.5,0.0,3.206982943888889,2.129448832,0.006829106084108115
10,13,13,13,13.0,2:14:41 PM,0.192000002,0.419999987,1.092960238,62.5,0.0071440214305778,13,2:14:41 PM,101408.9998,47.9495,38.4667,14.4071,-0.1801,-566.4998,-198.1682,9430.5389,11093.8128,6256.7411,7512.6824,8632.8464,8463.1245,9074.1231,8463.1245,8429.1802,7325.9885,-833.6384,24.8096,25.4544,22.9521,23.0147,11.8505,0.8471,0.884,22.8644,411.3153,80.679,3.2351,22.0346,2295.6119,2295.6119,23.0337,22.8031,112.565,47.9537,38.0913,21.7908,22.297,25.359,2295.6119,2295.6119,2295.6119,56.0579,22.6068,25.8166,26.4912,25.246,160.5331,2295.3644,2295.3644,37.8197,13.6005,2.8557,4.1962,13.0,38.0,2:12:40 PM,1.009328365,24.10000038,24.70000076,-0.061099354,23.39999962,0,-4.531196117,23.60000038,23.70000076,24.29999924,25.10000038,21.10000038,0.78125,3.168402672,0.678168416,3.309461832,0.656467021,3.651258707,0.000436395,23.60000038,0.192000002,0.419999987,8.171603203,24.5,1.092960238,1.10212481,1.026750803,1.07949388,25.29999924,26.20000076,26.70000076,26.20000076,62.5,69.40000153,1,1.0,0,0,0,0.218822345,0,2.19,66.0,0.0,3.3763744036666665,2.115885437,0.00714402143057786
11,14,14,14,14.0,2:14:42 PM,0.192000002,0.7199999736666667,1.100285648833334,80.91666539166667,0.0086299672990634,14,2:14:42 PM,101408.9998,47.9592,40.5037,4.2958,-0.2212,-419.6593,-235.0834,9057.1509,8157.6253,5136.5774,5798.4923,6986.5449,7970.9313,9345.678,8429.1802,8547.9855,8225.514,-833.3424,24.3798,24.8096,22.9688,23.0189,12.0966,0.7609,0.8471,22.8602,435.0979,283.1212,3.2351,21.9467,2295.5474,2295.5474,23.1698,22.8422,137.0936,47.8893,38.3755,21.7839,22.1764,25.3106,2295.5474,2295.5474,2295.5474,53.6901,22.6755,26.2356,26.8851,25.8194,188.8251,2295.1322,2295.1322,48.9245,16.5774,2.6281,2.9278,14.0,38.83333333333334,,1.009328365,24.18333403,25.19999949333333,-0.061099354,23.39999962,0,-4.543665012,23.51666673,23.61666711,24.38333289,25.18333403,21.26666609666666,0.7722077266666667,3.7968388795,0.6962528626666666,4.019278247833333,0.6474247476666667,4.419849276166667,0.000436395,23.60000038,0.192000002,0.7199999736666667,8.171603203,24.6666673,1.100285648833334,1.109138488333334,1.027997633,1.091027478333333,25.71666590666666,27.03333409333333,27.61666616,26.95000044333333,80.91666539166667,89.98333231333334,1,1.0,0,0,0,0.6799768383333333,0,3.748333333333333,85.16666666666667,0.0,4.078655467833333,2.115885337,0.008629967299063426
12,15,15,15,15.0,2:14:43 PM,0.192000002,1.25999999,1.090528727,109.3000031,0.0110470218448754,15,2:14:43 PM,101413.243,47.9592,39.9375,10.8811,-0.2622,-235.9037,-303.9917,9040.1787,9396.5945,5374.1879,5815.4645,6918.6561,7716.3486,8564.9576,7784.2373,7920.0148,8344.3193,-833.2684,24.3798,25.4544,22.9604,23.0147,12.8351,0.8902,0.9086,22.8477,409.5751,552.8509,3.2964,21.9826,2295.6157,2295.6157,23.3729,22.8163,160.3349,48.0519,38.5188,21.8374,22.3244,25.4774,2295.6157,2295.6157,2295.6157,51.803,22.6855,26.3167,26.7075,26.0455,216.6186,2295.3393,2295.3393,48.8636,19.0693,2.6389,2.2615,15.0,40.0,2:12:42 PM,1.009328365,24.20000076,25.89999962,-0.061099354,23.39999962,0,-4.546158791,23.5,23.60000038,24.39999962,25.20000076,21.5,0.770399272,4.947916985,0.699869752,5.213758945,0.645616293,5.501302242,0.000436395,23.60000038,0.192000002,1.25999999,8.171603203,24.70000076,1.090528727,1.099506378,1.028246999,1.091650963,26.39999962,27.89999962,28.39999962,27.70000076,109.3000031,108.0999985,1,1.0,0,0,0,1.593243718,0,6.56,109.0,0.0,5.220992724000001,2.115885317,0.011047021844875436
13,16,16,16,16.0,2:14:44 PM,0.0320000003333333,1.609999955,1.0922432545,130.2166621,0.0129239219319611,16,2:14:44 PM,101379.297,47.964,40.0729,13.2254,-0.2314,-203.0902,-366.3374,9175.9562,9311.7336,5204.4661,5798.4923,6375.5464,7716.3486,8683.7629,8038.82,8157.6253,8225.514,-833.2684,24.5947,25.0246,22.9688,23.0189,13.6228,0.8348,0.9394,22.8393,364.9102,724.5499,3.2964,21.9365,2295.4398,2295.4398,23.4951,23.0035,182.6017,47.9105,38.5003,21.7964,22.2205,25.2811,2295.4398,2295.4398,2295.4398,49.8918,22.8798,26.2761,26.7674,26.3196,245.5916,2295.4003,2295.4003,54.3043,19.7256,2.7895,5.7685,16.0,40.83333333333334,,1.009328365,24.36666647666667,26.23333263666667,-0.061099354,23.56666692,0,-4.548237006,23.5,23.60000038,24.48333327,25.45000012666666,21.6666673,0.783962657,5.947084745,0.6908275786666667,6.127025286666666,0.632052908,6.328667561166666,0.000436395,23.68333403,0.0320000003333333,1.609999955,8.171603203,25.03333377666666,1.0922432545,1.101688404666667,1.028246999,1.093053658833333,26.65000057,28.15000057,28.48333327,27.95000012666666,130.2166621,129.516669,1,1.0,0,0,0,1.572145064666667,0,1.093333333333333,129.8333333333333,0.0,6.134259197611111,2.1068431436666666,0.012923921931961155
14,17,17,17,17.0,2:14:45 PM,0.0,2.099999905,1.094082355,147.0,0.016193488509031,17,2:14:45 PM,101392.0267,47.9592,38.9098,7.763,-0.2725,-171.9174,-454.1135,9040.1787,9413.5667,5526.9375,5781.5201,6120.9637,6986.5449,8717.7073,8038.82,8276.4306,8361.2915,-832.9723,24.5947,25.0246,22.9563,23.0147,14.3613,0.8532,0.9579,22.8351,370.1308,1009.3615,3.378,22.1204,2295.7424,2295.7424,23.9855,23.4419,206.2506,48.0104,38.7676,21.8951,22.4342,25.5022,2295.7424,2295.7424,2295.7424,48.2377,23.1119,26.4126,26.946,26.6323,275.7797,2295.4332,2295.4332,62.953,18.0439,2.5738,2.5973,17.0,42.0,2:12:44 PM,1.009328365,24.5,26.5,-0.061099354,23.60000038,0,-4.548652649,23.5,23.60000038,24.5,25.5,21.89999962,0.786675334,7.421875,0.689019144,7.552083492,0.661892354,7.752821445,0.000436395,23.70000076,0.0,2.099999905,8.171603203,25.10000038,1.094082355,1.103246927,1.028246999,1.093334198,26.89999962,28.20000076,28.60000038,28.20000076,147.0,157.6000061,1,1.0,0,0,0,2.04716444,0,0.0,152.0,0.0,7.575593312333335,2.1375868319999998,0.016193488509031
15,18,18,18,18.0,2:14:46 PM,0.0654545495454545,2.263636329090909,1.106664570454546,158.6363664090909,0.0317740201529387,18,2:14:46 PM,101400.5133,47.964,40.1344,12.4454,-0.1493,-134.1819,-204.7309,14624.0271,14725.8603,12672.2258,12740.1146,12400.6709,12655.2537,13843.3066,13435.9742,13113.5026,11823.6166,-833.1204,24.8096,25.4544,22.9646,23.0231,14.1705,1.7456,1.8871,22.8184,287.7617,773.2753,3.2759,22.2503,2295.7177,2295.7177,24.6223,24.0561,229.1446,47.9561,38.7469,21.9196,22.2903,25.614,2295.7177,2295.7177,2295.7177,46.6786,23.0746,29.6048,29.4132,28.802,305.2814,2295.2977,2295.2977,60.1771,17.8357,2.7967,2.4603,18.0,42.45454545454545,,1.009328365,24.54545471818182,26.68181800909091,-0.061099354,23.55454566181818,0,-4.547519077181819,23.72727272727273,23.82727310727273,24.54545471818182,25.54545471818182,21.94545433818182,1.491970539,8.053187890454545,1.184698603545454,8.175998254272727,1.194562781727273,8.393999012727273,0.000436395,23.65454604181818,0.0654545495454545,2.263636329090909,8.171603203,25.19090895272728,1.106664570454546,1.115659106545455,1.028246999,1.107106609818182,27.21818178363636,28.56363677818182,29.00909111636364,28.65454621454545,158.6363664090909,168.4181823727273,1,1.0,0,0,0,2.164713577727273,0,7.763636363636363,163.3636363636364,0.0454545454545454,8.20772838581818,3.871231924272727,0.0317740201529388
16,19,19,19,19.0,2:14:47 PM,0.1309090990909091,2.427272753181818,1.119246785909091,170.2727328181818,0.0495463475324475,19,2:14:47 PM,101438.7026,47.9544,40.3929,4.7563,-0.293,-121.0565,-165.3547,13334.141,13673.5847,11602.9783,11721.7835,11653.8948,11501.1452,13096.5305,12400.6709,12298.8378,11942.4219,-832.8243,24.8096,25.4544,22.9604,23.0231,16.3737,1.4194,1.524,22.8184,216.9939,568.5127,5.7261,22.1541,2295.5817,2295.5817,24.6035,24.0007,247.1865,47.9445,39.0893,21.833,22.2156,25.5745,2295.5817,2295.5817,2295.5817,44.7763,23.0109,29.702,29.7277,29.4255,328.1341,2295.0992,2295.0992,43.3976,16.4349,2.5671,2.1951,19.0,42.90909090909091,,1.009328365,24.59090943636364,26.86363601818182,-0.061099354,23.50909094363636,0,-4.546385505363636,23.95454545454545,24.05454583454545,24.59090943636364,25.59090943636364,21.99090905636364,2.197265744,8.68450078090909,1.680378063090909,8.799913016545455,1.727233209454545,9.035176580454545,0.000436395,23.60909132363636,0.1309090990909091,2.427272753181818,8.171603203,25.28181752545454,1.119246785909091,1.128071286090909,1.028246999,1.120879021636364,27.53636394727273,28.92727279636363,29.41818185272727,29.10909166909091,170.2727328181818,179.2363586454545,1,1.0,0,0,0,2.282262715454545,0,15.52727272727273,174.7272727272727,0.0909090909090909,8.83986345930303,5.604877016545454,0.04954634753244755
17,20,20,20,20.0,2:14:48 PM,0.0,3.0,1.134107351,222.6999969,0.1333623794766929,20,2:14:48 PM,101408.9998,47.964,38.042,12.1027,-0.3033,-117.7752,-156.331,14114.8616,14301.5556,11942.4219,11840.5888,11653.8948,11840.5888,13368.0854,12689.198,12723.1424,11823.6166,-832.8243,24.5947,25.4544,22.9688,23.0273,18.023,1.5117,1.5794,22.8017,174.0692,474.5423,6.4612,22.1024,2295.5896,2295.5896,23.9717,23.751,264.4457,47.8538,39.4167,21.7832,22.2881,25.685,2295.5896,2295.5896,2295.5896,43.5662,22.9914,30.1824,30.3405,29.9882,351.2753,2295.4765,2295.4765,44.7636,16.584,2.3244,2.1856,20.0,44.0,2:12:47 PM,1.009328365,24.70000076,28.5,-0.061099354,23.5,0,-4.548652649,24.0,24.0,24.70000076,26.0,22.10000038,4.828558922,9.39127636,4.606119633,9.450954437,4.633246422,9.597438812,0.000436395,23.60000038,0.0,3.0,8.171603203,26.20000076,1.134107351,1.143458843,1.028246999,1.139905334,31.39999962,31.60000038,32.20000076,31.70000076,222.6999969,231.1999969,1,1.0,0,0,0,2.616825819,0,0.0,227.0,0.1,9.479889869666666,14.067924977,0.13336237947669297
18,21,21,21,21.0,2:14:49 PM,0.0,3.0,1.140497565166667,240.9500045666667,0.1395250850787862,21,2:14:49 PM,101430.216,47.964,40.4175,7.1911,-0.293,-110.3921,-157.1513,13673.5847,12553.4206,11942.4219,11721.7835,11636.9226,11857.561,13351.1132,12655.2537,12672.2258,11942.4219,-832.6763,24.8096,25.2395,22.9646,23.0273,18.7491,1.4809,1.6348,22.7976,152.0268,472.222,6.9716,22.0647,2295.4021,2295.4021,23.7856,23.6459,281.5085,47.805,39.8708,21.755,22.1454,25.7212,2295.4021,2295.4021,2295.4021,42.1767,23.0985,30.3872,30.4996,30.2033,373.885,2295.3425,2295.3425,44.4837,16.761,2.2322,2.1695,21.0,44.83333333333334,,1.009328365,24.86666647666667,29.08333396666667,-0.061099354,23.5,0,-4.556965112333334,23.91666635,24.0,24.61666711,25.91666635,22.01666673,4.959671656166667,9.495261828333334,4.8186125755,9.554940700333336,4.7914860245,9.678819815333334,0.000436395,23.51666673,0.0,3.0,8.171603203,26.45000012666666,1.140497565166667,1.149537423833333,1.028246999,1.141152163166667,32.06666723666667,32.18333276333333,32.783334735,32.19999949333333,240.9500045666667,258.5333328166666,1,1.0,0,0,0,2.652994712333333,0,0.0,249.5,0.1,9.576340781333334,14.569770256166667,0.13952508507878628
